"","steps","date","interval","day","DateTime"
"289",0,"2012-10-02",0,"Tuesday",2012-10-02
"290",0,"2012-10-02",5,"Tuesday",2012-10-02
"291",0,"2012-10-02",10,"Tuesday",2012-10-02
"292",0,"2012-10-02",15,"Tuesday",2012-10-02
"293",0,"2012-10-02",20,"Tuesday",2012-10-02
"294",0,"2012-10-02",25,"Tuesday",2012-10-02
"295",0,"2012-10-02",30,"Tuesday",2012-10-02
"296",0,"2012-10-02",35,"Tuesday",2012-10-02
"297",0,"2012-10-02",40,"Tuesday",2012-10-02
"298",0,"2012-10-02",45,"Tuesday",2012-10-02
"299",0,"2012-10-02",50,"Tuesday",2012-10-02
"300",0,"2012-10-02",55,"Tuesday",2012-10-02
"301",0,"2012-10-02",100,"Tuesday",2012-10-02
"302",0,"2012-10-02",105,"Tuesday",2012-10-02
"303",0,"2012-10-02",110,"Tuesday",2012-10-02
"304",0,"2012-10-02",115,"Tuesday",2012-10-02
"305",0,"2012-10-02",120,"Tuesday",2012-10-02
"306",0,"2012-10-02",125,"Tuesday",2012-10-02
"307",0,"2012-10-02",130,"Tuesday",2012-10-02
"308",0,"2012-10-02",135,"Tuesday",2012-10-02
"309",0,"2012-10-02",140,"Tuesday",2012-10-02
"310",0,"2012-10-02",145,"Tuesday",2012-10-02
"311",0,"2012-10-02",150,"Tuesday",2012-10-02
"312",0,"2012-10-02",155,"Tuesday",2012-10-02
"313",0,"2012-10-02",200,"Tuesday",2012-10-02
"314",0,"2012-10-02",205,"Tuesday",2012-10-02
"315",0,"2012-10-02",210,"Tuesday",2012-10-02
"316",0,"2012-10-02",215,"Tuesday",2012-10-02
"317",0,"2012-10-02",220,"Tuesday",2012-10-02
"318",0,"2012-10-02",225,"Tuesday",2012-10-02
"319",0,"2012-10-02",230,"Tuesday",2012-10-02
"320",0,"2012-10-02",235,"Tuesday",2012-10-02
"321",0,"2012-10-02",240,"Tuesday",2012-10-02
"322",0,"2012-10-02",245,"Tuesday",2012-10-02
"323",0,"2012-10-02",250,"Tuesday",2012-10-02
"324",0,"2012-10-02",255,"Tuesday",2012-10-02
"325",0,"2012-10-02",300,"Tuesday",2012-10-02
"326",0,"2012-10-02",305,"Tuesday",2012-10-02
"327",0,"2012-10-02",310,"Tuesday",2012-10-02
"328",0,"2012-10-02",315,"Tuesday",2012-10-02
"329",0,"2012-10-02",320,"Tuesday",2012-10-02
"330",0,"2012-10-02",325,"Tuesday",2012-10-02
"331",0,"2012-10-02",330,"Tuesday",2012-10-02
"332",0,"2012-10-02",335,"Tuesday",2012-10-02
"333",0,"2012-10-02",340,"Tuesday",2012-10-02
"334",0,"2012-10-02",345,"Tuesday",2012-10-02
"335",0,"2012-10-02",350,"Tuesday",2012-10-02
"336",0,"2012-10-02",355,"Tuesday",2012-10-02
"337",0,"2012-10-02",400,"Tuesday",2012-10-02
"338",0,"2012-10-02",405,"Tuesday",2012-10-02
"339",0,"2012-10-02",410,"Tuesday",2012-10-02
"340",0,"2012-10-02",415,"Tuesday",2012-10-02
"341",0,"2012-10-02",420,"Tuesday",2012-10-02
"342",0,"2012-10-02",425,"Tuesday",2012-10-02
"343",0,"2012-10-02",430,"Tuesday",2012-10-02
"344",0,"2012-10-02",435,"Tuesday",2012-10-02
"345",0,"2012-10-02",440,"Tuesday",2012-10-02
"346",0,"2012-10-02",445,"Tuesday",2012-10-02
"347",0,"2012-10-02",450,"Tuesday",2012-10-02
"348",0,"2012-10-02",455,"Tuesday",2012-10-02
"349",0,"2012-10-02",500,"Tuesday",2012-10-02
